20170301,1,1,80024,49165,3671601
20170301,1,2,124814,74059,6933672
20170301,1,3,75182,49326,3502622
20170301,1,4,73995,48788,4045500
20170301,1,5,54568,37726,2634776
20170301,1,6,93771,59739,4778742
20170301,1,7,74157,49190,3843798
20170301,1,8,47880,33596,1809568
20170301,1,9,45503,31824,1776056
20170301,1,10,65116,41498,2666665
20170301,1,11,61802,41529,3179860
20170301,1,12,541377,245618,26431989
20170301,1,13,77174,49670,3214015
20170301,1,14,53053,36310,2348687
20170301,1,15,42468,30234,2485664
20170301,1,16,78586,50299,3412638
20170301,1,17,71466,45335,2314351
20170301,1,18,50303,35612,2196374
20170301,1,19,51597,36848,1836466
20170301,1,20,60120,41541,2281476
20170301,1,21,67434,46047,2212269
20170301,1,22,72417,49000,2816671
20170301,1,23,62720,43300,2795151
20170301,1,24,75041,51912,3710545
20170301,1,25,74367,51067,2987243
20170301,1,26,71132,49317,3258963
20170301,1,27,122266,79023,6013711
20170301,1,28,111481,71813,6043492
20170301,1,29,108240,68033,7644330
20170301,1,30,132291,85521,4526371
20170301,1,31,62,45,3700
20170301,1,32,78672,54986,4447297
20170301,1,33,87,59,6667
20170301,1,34,113028,72760,4693523
20170301,1,35,103627,69584,5303207
20170301,1,36,149093,93713,6407495
20170301,1,37,112764,75078,5433323
20170301,1,38,186123,113897,11659842
20170301,1,39,162916,102756,6884740
20170301,1,40,78,57,5701
20170301,1,41,268866,147836,24800458
20170301,1,42,185472,113822,10050819
20170301,1,43,147495,94920,5985037
20170301,1,44,193268,118341,7445963
20170301,1,45,256076,152677,12976538
20170301,1,46,298306,165376,14897166
20170301,1,47,248371,139444,9529448
20170301,1,48,63357,43237,2949871
20170301,1,49,82364,53887,3044212
20170301,1,50,58639,40761,3005150
20170301,1,51,51672,36168,2370985
20170301,1,52,85446,56576,4056844
20170301,1,53,39505,28024,2192121
20170301,1,54,50943,35736,2395309
20170301,1,55,71,54,2335
20170301,1,56,69045,46076,4330878
20170301,1,57,56449,38831,2788514
20170301,1,58,51461,35357,2412299
20170301,1,60,51259,35670,1814679
20170301,1,61,53309,36650,2917596
20170301,1,62,89814,55970,5414283
20170301,1,63,70744,46498,2844467
20170301,1,11111,1,1,17
